,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,2,Litecoin,LTC,litecoin,926,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73195264.22743528,84000000.0,False,,11,,,,2023-06-21T20:17:00.000Z,85.15280181696757,825793543.313172,112.4631,-0.17963785,6.70833245,14.18547019,-6.27325835,-2.1738647,-9.02924898,6232781828.699371,0.5322,7152835352.63,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
11,3890,Polygon,MATIC,polygon,744,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token']",10000000000.0,9289469069.28493,10000000000.0,False,,12,,,,2023-06-21T20:17:00.000Z,0.6640922986623004,419010022.3885261,66.6897,0.15741371,6.16108654,5.08671203,-23.701079,-35.02750724,-41.021485,6169064867.573769,0.5263,6640922986.62,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
12,6636,Polkadot,DOT,polkadot-new,516,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1196993019.8903549,1326471897.1955347,True,,13,,,,2023-06-21T20:17:00.000Z,4.798512731107456,155924876.85942188,36.2876,-0.32642626,3.87162878,3.46880808,-9.68451106,-19.45885946,-23.82786204,5743786244.990628,0.49,6365092286.15,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
13,11419,Toncoin,TON,toncoin,115,2021-08-26T13:40:22.000Z,['pos'],,3431892087.62,5047558528.0,True,,14,3414166606.0,4752178293.820271,,2023-06-21T20:17:00.000Z,1.3918999399352308,8060210.33831274,47.2339,0.00968197,0.16228643,-0.22094902,-24.25711883,-39.31781522,-33.29625826,4776850390.622472,0.4075,7025696411.94,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1252,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,157126.9358355,157126.9358355,False,,15,,,,2023-06-21T20:17:00.000Z,30120.19869562671,391983290.7491366,118.0427,-0.0385135,7.86205382,18.01807828,12.00301973,8.97582962,6.6146957,4732694527.800248,0.404,4732694527.8,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-06-21 20:19:20.765987
15,4943,Dai,DAI,multi-collateral-dai,2381,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,4686457007.983145,4686457007.983145,True,,16,,,,2023-06-21T20:17:00.000Z,1.0004501115033047,282005906.053228,96.909,0.05302054,0.01104902,0.25248278,0.06597557,0.06821029,0.14067392,4688566436.192181,0.4,4688566436.19,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-06-21 20:19:20.765987
16,5805,Avalanche,AVAX,avalanche,451,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']",720000000.0,345003397.40656143,431722847.40656143,False,,17,,,,2023-06-21T20:17:00.000Z,12.913549638970313,200905032.70558614,84.8976,-0.08551279,8.52413174,11.7336693,-12.07555474,-24.90063663,-26.27912695,4455218498.023033,0.3805,9297755740.06,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
17,5994,Shiba Inu,SHIB,shiba-inu,544,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589349015425385.1,589590856055462.8,False,,18,,,,2023-06-21T20:17:00.000Z,7.54185243549099e-06,147211828.38835183,56.3909,0.07861505,4.5814963,13.23372857,-14.1906379,-27.5658295,-30.31077655,4444783307.340158,0.3794,4446607233.69,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-06-21 20:19:20.765987
18,4687,Binance USD,BUSD,binance-usd,6941,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,4269031773.899097,4269031773.899097,True,,19,,,,2023-06-21T20:17:00.000Z,1.000310213273967,3773505114.1534014,69.1481,0.0282502,-0.02460727,0.0996554,0.04347793,0.02670835,0.04582022,4270356084.2223473,0.3644,4270356084.22,,2023-06-21T20:17:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-06-21 20:19:20.765987
19,3957,UNUS SED LEO,LEO,unus-sed-leo,27,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,930030183.9,985239504.0,False,,20,,,,2023-06-21T20:17:00.000Z,3.579381770663392,858209.74407644,30.0155,-0.02805661,0.39603361,1.93893183,1.85389218,2.3256239,7.19004393,3328933086.4183817,0.284,3526548320.36,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2023-06-21 20:19:20.765987
20,2563,TrueUSD,TUSD,trueusd,387,2018-03-06T00:00:00.000Z,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'arbitrum-ecosytem', 'bnb-chain', 'usd-stablecoin']",,3139421789.08,3139421789.08,False,,21,,,,2023-06-21T20:17:00.000Z,1.0008561860369913,4250086234.166484,88.5918,0.04755109,-0.23718307,-0.01623166,0.10963119,0.04736277,0.20182912,3142109718.1800365,0.2682,3142109718.18,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0000000000085d4780B73119b644AE5ecd22b376,2023-06-21 20:19:20.765987
21,3794,Cosmos,ATOM,cosmos,452,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'sec-security-token']",,346608690.0,0.0,True,,22,,,,2023-06-21T20:17:00.000Z,9.041387219950076,100404594.584653,35.5301,0.04295819,4.22573022,4.82569446,-13.75703845,-17.94635888,-22.82421133,3133823380.0896378,0.2673,0.0,,2023-06-21T20:17:00.000Z,,,,,,2023-06-21 20:19:20.765987
22,1975,Chainlink,LINK,chainlink,1201,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem']",1000000000.0,538099970.4527867,1000000000.0,False,,23,,,,2023-06-21T20:17:00.000Z,5.530634090650765,207242566.74210295,42.8768,0.34794539,5.97532979,3.89246122,-15.06023934,-22.75608303,-26.76221056,2976034040.7643514,0.254,5530634090.65,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-06-21 20:19:20.765987
23,7083,Uniswap,UNI,uniswap,701,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem']",1000000000.0,577501036.0,1000000000.0,False,,24,,,2.38002147,2023-06-21T20:17:00.000Z,4.757565115935036,62554921.01150615,45.7118,0.13457378,4.12180196,6.5682672,-6.29923485,-13.5249893,-23.98603422,2747498783.2899437,0.2345,4757565115.94,1154400841.5662298,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2023-06-21 20:19:20.765987
24,3897,OKB,OKB,okb,97,2019-04-30T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'alameda-research-portfolio']",,60000000.0,300000000.0,False,,25,246638974.0,11283106494.5024,,2023-06-21T20:17:00.000Z,45.74745958237079,9476849.06433238,171.9893,0.30934331,9.09100103,12.70169774,-0.30468689,-4.47962956,2.17984549,2744847574.9422474,0.2344,13724237874.71,,2023-06-21T20:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,2023-06-21 20:19:20.765987
